,post,response
259,Historically EVERYTHING the left says you will do is what THEY will do!,reinforce
260,Fight to stay well for us. We need your help in this fight to save America.,reinforce
261,So we haven't got there yet have we?,reinforce
262,The fake news must be torn apart on the firsts day and charged with treason for destroying America.,reinforce
263,WaPo = CiA = MIC = Warmonger = Nato = DeepState = ...,reinforce
264,"Fuck off, you felonious piece of shit.",reinforce
265,It's the truth. Listen to trump. That is what he said he would do. He would order protested to be shot on sight. Trump as dictator will do what he says.,reinforce
266,Washington Compost. Propaganda.,reinforce
267,"Unless it comes directly from you, we don't ever believe them. I'm grateful for the mass awakening you gave to us sir. When I first heard you were running, I truly thought you were joking around. Then I listened to what you had to say, and I've been a yuge supporter ever since. Mad MAGA respect for you sir🫡 Hurry back please!!! We are in dire straits.",reinforce
268,I won’t be happy until him and his family are prosecuted for all their crimes. It’s coming!,reinforce
269,Yes that goes right next to democrats claim that Trump is getting ride of social security. Mail arrives everyday to Florida residents starting that lie. Meanwhile Biden giving away our social security and Medicare we paid for all our lives to illegal aliens so they illegally vote for him.,reinforce
270,"Hey shit face, go crawl back up Joes asshole and shut the fuck up. You have no idea what’s coming.",reinforce
271,Let’s not forget # ConvictedFelonTrump has always been a # racist . # Trump # Truth # MAGA # fact # VoteBlue # 2024election,reinforce
272,"You let it all happen because you didn't wanna put our country through that... You let the good people in America get Fucked so you could wake a few sheep... You are just another lying RINO, we voted for you and sent you tons of cash because we believe the lies you told us in 2015... You didn't do anything you told us you would... Fuck you and the Republican RINO Party.. You are a liar!!!!!",reinforce
273,# DeepStateMedia # KhazarianMafia # AmericaLast # Antichrists # NotSemites # FakeJews # FakeNews # TheBigLie,reinforce
274,"Don't hit this story too hard, a little military service would fix A LOT of America's problems! Mind, body, and soul!",reinforce
275,Current administration are who we must worry about doing that.,reinforce
276,Fake news keeps talking about how much they fear President Trump. That just means they won’t see the real smack down that’s coming from the MAGA movement. It will be epic. 🙏🇺🇸,reinforce
277,How many students have you lost at Trump University………oh wait!,reinforce
278,Woke newpaper,reinforce
279,"Don't worry snowflakes, the great US Military doesn't want you.",reinforce
280,Sue them !!,reinforce
281,"I doubt any president would do that but quite frankly, I would be for it. Maybe if these snot nosed spoiled entitled brats had to go do something for America instead of wasting time and their parents money protesting in our worthless universities they might turn out to be better citizens.",reinforce
282,And he will probably get off with a slap on the wrist.,reinforce
283,Washington compost! I love that one!,reinforce
284,"🤣🤣🤣🙃🙃🙃 youll believe anything, won't you? Especially if you see 👀 it on the te-LIE-vision",reinforce
285,They aren't fair or honest,reinforce
286,I pay no attention to their bs. They are now all scurrying like the roaches they are. They failed. MAGA only grew stronger. You're gonna come damn close to turning the whole country RED!,reinforce
287,Difference is Hunter actually committed a crime The NY judge just made up charges against Trump.,reinforce
288,Hey stupid it’s a true story because people know that you’re a bigger than a racist and a dictator so we know it’s a true story,reinforce
289,Only to have Daddy pardon him! Biden said that he wouldn’t but when did Biden ever tell the truth!,reinforce
290,I served 20+ years in the Marines. My dad served. My uncle served. My grandfathers on both sides served. My great grandfather served.,reinforce
291,"Are you, felon Trump, capable to live through a single day without insulting and defaming and degrating others? Poor soul.",reinforce
292,We the people are hoping for that day,reinforce
293,"Per year, I take it",reinforce
294,Don’t worry we do not believe anything that comes out of a lying democrats mouth !,reinforce
295,Liars..Gaslighters..sell outs...anti American..fake news frauds...anything to win..money loving..out of touch losers!! They can't stop the Trump Train..MAGA TRUMP 2024,reinforce
296,"Imagine an event where the government institutes the draft. Now think of all the people who have and most certainly would self identify as a woman, non binary, unisex, or whatever of the other 80 genders are. The regulations of instituting a draft states men of age 18 and up. How do you imagine that would play out? The government has been pushing inclusion and gender acceptance so they would be at odds with their own core to control that mayhem. We're not nearly as strong as we once were. No one will argue that. But I fear we're far weaker than we realize.",reinforce
297,"Put illegals into service and deploy them to Gaza to distribute humanitarian aid. No offer to return to their country, make them WORK for their freedom.",reinforce
298,Anything to sell a failing newspaper!,reinforce
299,You sound like a Trump,reinforce
300,"And the people who voted for unprofessional behavior and they continue to win on their corruption and drag the world into it,while trying to take others,justice can’t do its job because they even compromised the legal system a planned corruption by putting each person in place to take America down because they could and help from others that in the business for thirty years.Pelosi was at the steak dinner and all gleaming and glowing with ugly happiness planned corruption,and sad America for the constitution,playing out everything it only matters to them,and the rest of the world knows how everything has went down all along they show know shame driving it home as they planned face value of corruption America knows,they move every minute to corrupt their upside is to blame others and gain wealth know matter who’s watching they have a remedy for the truth to hide the corruption.about a hundred and fifty corrupt people are in on all of this and everyone knows it.someone hasbeenpaidcoverup",reinforce
